Current rating,Team,Conference,Full-strength rating,Proj. Record,Proj. Point Diff/G,Chance of Making PlayoffsMake play-offs,Full-strength rating,Chance of Making FinalsMake Finals,Chance of Winning FinalsWin Finals
1689,Lakers14-4,West,1689,53-19,7.6,>99%,1740,44%,30%
1642,Bucks10-6,East,1642,47-25,5.6,>99%,1683,27%,12%
1644,Celtics10-6,East,1637,45-27,3.8,98%,1681,25%,12%
1426,Clippers13-5,West,1656,48-24,5.1,>99%,1689,20%,12%
1630,Nets11-8,East,1662,44-28,3.8,98%,1703,19%,8%
1642,Jazz13-4,West,1642,48-24,5.1,>99%,1665,14%,7%
1622,76ers12-6,East,1619,46-26,3.5,99%,1646,17%,6%
1620,Nuggets10-7,West,1620,45-27,4.3,97%,1661,12%,6%
1614,Mavericks8-9,West,1618,42-30,2.5,88%,1636,6%,3%
1546,Heat6-10,East,1556,37-35,0.1,74%,1595,4%,1%
1578,Suns8-7,West,1584,41-31,2.3,83%,1593,3%,1%
1580,Raptors7-10,East,1585,38-34,1.8,82%,1589,4%,1%
1522,Hawks9-8,East,1528,35-37,0,61%,1557,2%,<1%
1502,Pacers10-7,East,1539,37-35,0.5,76%,1546,2%,<1%
1442,Trail Blazers9-7,West,1538,37-35,-0.3,56%,1540,<1%,<1%
1496,Spurs9-8,West,1525,38-34,0.5,59%,1519,<1%,<1%
1509,Pelicans5-10,West,1509,33-39,-1,29%,1516,<1%,<1%
1458,Magic8-10,East,1487,35-37,-1.3,54%,1469,<1%,<1%
1481,Rockets7-9,West,1469,33-39,-0.8,26%,1477,<1%,<1%
1350,Wizards3-10,East,1434,25-47,-4,5%,1437,<1%,<1%
1485,Grizzlies7-6,West,1491,34-38,-1.4,33%,1479,<1%,<1%
1428,Knicks8-11,East,1430,30-42,-2.6,20%,1428,<1%,<1%
1455,Warriors9-8,West,1454,31-41,-2.8,17%,1461,<1%,<1%
1436,Hornets7-10,East,1436,29-43,-2.8,16%,1427,<1%,<1%
1365,Cavaliers8-9,East,1406,27-45,-4.6,10%,1393,<1%,<1%
1429,Thunder7-9,West,1451,28-44,-4.4,8%,1463,<1%,<1%
1405,Bulls7-10,East,1405,27-45,-4,8%,1395,<1%,<1%
1430,Kings6-10,West,1430,26-46,-5.3,3%,1429,<1%,<1%
1345,Timberwolves4-12,West,1432,25-47,-5,3%,1439,<1%,<1%
1387,Pistons4-13,East,1372,20-52,-6,<1%,1381,<1%,<1%
